"","systemic_crisis","currency_crises","inflation_crises","year","period","banking_crises","region","total_crises"
"1",4,9,14,1870,1880,4,"Algeria",31
"2",4,9,14,1871,1880,4,"Algeria",31
"3",4,9,14,1872,1880,4,"Algeria",31
"4",4,9,14,1873,1880,4,"Algeria",31
"5",4,9,14,1874,1880,4,"Algeria",31
"6",4,9,14,1875,1880,4,"Algeria",31
"7",4,9,14,1876,1880,4,"Algeria",31
"8",4,9,14,1877,1880,4,"Algeria",31
"9",4,9,14,1878,1880,4,"Algeria",31
"10",4,9,14,1879,1880,4,"Algeria",31
"11",4,9,14,1880,1880,4,"Algeria",31
"12",4,9,14,1881,1900,4,"Algeria",31
"13",4,9,14,1882,1900,4,"Algeria",31
"14",4,9,14,1883,1900,4,"Algeria",31
"15",4,9,14,1884,1900,4,"Algeria",31
"16",4,9,14,1939,1940,4,"Algeria",31
"17",4,9,14,1940,1940,4,"Algeria",31
"18",4,9,14,1941,1960,4,"Algeria",31
"19",4,9,14,1942,1960,4,"Algeria",31
"20",4,9,14,1943,1960,4,"Algeria",31
"21",4,9,14,1944,1960,4,"Algeria",31
"22",4,9,14,1945,1960,4,"Algeria",31
"23",4,9,14,1946,1960,4,"Algeria",31
"24",4,9,14,1947,1960,4,"Algeria",31
"25",4,9,14,1948,1960,4,"Algeria",31
"26",4,9,14,1949,1960,4,"Algeria",31
"27",4,9,14,1950,1960,4,"Algeria",31
"28",4,9,14,1951,1960,4,"Algeria",31
"29",4,9,14,1952,1960,4,"Algeria",31
"30",4,9,14,1953,1960,4,"Algeria",31
"31",4,9,14,1954,1960,4,"Algeria",31
"32",4,9,14,1955,1960,4,"Algeria",31
"33",4,9,14,1956,1960,4,"Algeria",31
"34",4,9,14,1957,1960,4,"Algeria",31
"35",4,9,14,1958,1960,4,"Algeria",31
"36",4,9,14,1959,1960,4,"Algeria",31
"37",4,9,14,1960,1960,4,"Algeria",31
"38",4,9,14,1961,1980,4,"Algeria",31
"39",4,9,14,1968,1980,4,"Algeria",31
"40",4,9,14,1969,1980,4,"Algeria",31
"41",4,9,14,1970,1980,4,"Algeria",31
"42",4,9,14,1971,1980,4,"Algeria",31
"43",4,9,14,1972,1980,4,"Algeria",31
"44",4,9,14,1973,1980,4,"Algeria",31
"45",4,9,14,1974,1980,4,"Algeria",31
"46",4,9,14,1975,1980,4,"Algeria",31
"47",4,9,14,1976,1980,4,"Algeria",31
"48",4,9,14,1977,1980,4,"Algeria",31
"49",4,9,14,1978,1980,4,"Algeria",31
"50",4,9,14,1979,1980,4,"Algeria",31
"51",4,9,14,1980,1980,4,"Algeria",31
"52",4,9,14,1981,2000,4,"Algeria",31
"53",4,9,14,1982,2000,4,"Algeria",31
"54",4,9,14,1983,2000,4,"Algeria",31
"55",4,9,14,1984,2000,4,"Algeria",31
"56",4,9,14,1985,2000,4,"Algeria",31
"57",4,9,14,1986,2000,4,"Algeria",31
"58",4,9,14,1987,2000,4,"Algeria",31
"59",4,9,14,1988,2000,4,"Algeria",31
"60",4,9,14,1989,2000,4,"Algeria",31
"61",4,9,14,1990,2000,4,"Algeria",31
"62",4,9,14,1991,2000,4,"Algeria",31
"63",4,9,14,1992,2000,4,"Algeria",31
"64",4,9,14,1993,2000,4,"Algeria",31
"65",4,9,14,1994,2000,4,"Algeria",31
"66",4,9,14,1995,2000,4,"Algeria",31
"67",4,9,14,1996,2000,4,"Algeria",31
"68",4,9,14,1997,2000,4,"Algeria",31
"69",4,9,14,1998,2000,4,"Algeria",31
"70",4,9,14,1999,2000,4,"Algeria",31
"71",4,9,14,2000,2000,4,"Algeria",31
"72",4,9,14,2001,2014,4,"Algeria",31
"73",4,9,14,2002,2014,4,"Algeria",31
"74",4,9,14,2003,2014,4,"Algeria",31
"75",4,9,14,2004,2014,4,"Algeria",31
"76",4,9,14,2005,2014,4,"Algeria",31
"77",4,9,14,2006,2014,4,"Algeria",31
"78",4,9,14,2007,2014,4,"Algeria",31
"79",4,9,14,2008,2014,4,"Algeria",31
"80",4,9,14,2009,2014,4,"Algeria",31
"81",4,9,14,2010,2014,4,"Algeria",31
"82",4,9,14,2011,2014,4,"Algeria",31
"83",4,9,14,2012,2014,4,"Algeria",31
"84",4,9,14,2013,2014,4,"Algeria",31
"85",4,9,14,2014,2014,4,"Algeria",31
"86",0,22,26,1921,1940,7,"Angola",55
"87",0,22,26,1922,1940,7,"Angola",55
"88",0,22,26,1923,1940,7,"Angola",55
"89",0,22,26,1924,1940,7,"Angola",55
"90",0,22,26,1925,1940,7,"Angola",55
"91",0,22,26,1926,1940,7,"Angola",55
"92",0,22,26,1927,1940,7,"Angola",55
"93",0,22,26,1928,1940,7,"Angola",55
"94",0,22,26,1929,1940,7,"Angola",55
"95",0,22,26,1930,1940,7,"Angola",55
"96",0,22,26,1931,1940,7,"Angola",55
"97",0,22,26,1932,1940,7,"Angola",55
"98",0,22,26,1933,1940,7,"Angola",55
"99",0,22,26,1934,1940,7,"Angola",55
"100",0,22,26,1935,1940,7,"Angola",55
"101",0,22,26,1936,1940,7,"Angola",55
"102",0,22,26,1937,1940,7,"Angola",55
"103",0,22,26,1938,1940,7,"Angola",55
"104",0,22,26,1939,1940,7,"Angola",55
"105",0,22,26,1940,1940,7,"Angola",55
"106",0,22,26,1941,1960,7,"Angola",55
"107",0,22,26,1942,1960,7,"Angola",55
"108",0,22,26,1943,1960,7,"Angola",55
"109",0,22,26,1944,1960,7,"Angola",55
"110",0,22,26,1945,1960,7,"Angola",55
"111",0,22,26,1946,1960,7,"Angola",55
"112",0,22,26,1947,1960,7,"Angola",55
"113",0,22,26,1948,1960,7,"Angola",55
"114",0,22,26,1949,1960,7,"Angola",55
"115",0,22,26,1950,1960,7,"Angola",55
"116",0,22,26,1951,1960,7,"Angola",55
"117",0,22,26,1952,1960,7,"Angola",55
"118",0,22,26,1953,1960,7,"Angola",55
"119",0,22,26,1954,1960,7,"Angola",55
"120",0,22,26,1955,1960,7,"Angola",55
"121",0,22,26,1956,1960,7,"Angola",55
"122",0,22,26,1957,1960,7,"Angola",55
"123",0,22,26,1958,1960,7,"Angola",55
"124",0,22,26,1959,1960,7,"Angola",55
"125",0,22,26,1960,1960,7,"Angola",55
"126",0,22,26,1961,1980,7,"Angola",55
"127",0,22,26,1962,1980,7,"Angola",55
"128",0,22,26,1970,1980,7,"Angola",55
"129",0,22,26,1971,1980,7,"Angola",55
"130",0,22,26,1972,1980,7,"Angola",55
"131",0,22,26,1973,1980,7,"Angola",55
"132",0,22,26,1974,1980,7,"Angola",55
"133",0,22,26,1975,1980,7,"Angola",55
"134",0,22,26,1976,1980,7,"Angola",55
"135",0,22,26,1977,1980,7,"Angola",55
"136",0,22,26,1978,1980,7,"Angola",55
"137",0,22,26,1979,1980,7,"Angola",55
"138",0,22,26,1980,1980,7,"Angola",55
"139",0,22,26,1991,2000,7,"Angola",55
"140",0,22,26,1992,2000,7,"Angola",55
"141",0,22,26,1993,2000,7,"Angola",55
"142",0,22,26,1994,2000,7,"Angola",55
"143",0,22,26,1995,2000,7,"Angola",55
"144",0,22,26,1996,2000,7,"Angola",55
"145",0,22,26,1997,2000,7,"Angola",55
"146",0,22,26,1998,2000,7,"Angola",55
"147",0,22,26,1999,2000,7,"Angola",55
"148",0,22,26,2000,2000,7,"Angola",55
"149",0,22,26,2001,2014,7,"Angola",55
"150",0,22,26,2002,2014,7,"Angola",55
"151",0,22,26,2003,2014,7,"Angola",55
"152",0,22,26,2004,2014,7,"Angola",55
"153",0,22,26,2005,2014,7,"Angola",55
"154",0,22,26,2006,2014,7,"Angola",55
"155",0,22,26,2007,2014,7,"Angola",55
"156",0,22,26,2008,2014,7,"Angola",55
"157",0,22,26,2009,2014,7,"Angola",55
"158",0,22,26,2010,2014,7,"Angola",55
"159",0,22,26,2011,2014,7,"Angola",55
"160",0,22,26,2012,2014,7,"Angola",55
"161",0,22,26,2013,2014,7,"Angola",55
"162",0,22,26,2014,2014,7,"Angola",55
"163",19,2,2,1957,1960,19,"Central African Republic",42
"164",19,2,2,1958,1960,19,"Central African Republic",42
"165",19,2,2,1959,1960,19,"Central African Republic",42
"166",19,2,2,1960,1960,19,"Central African Republic",42
"167",19,2,2,1961,1980,19,"Central African Republic",42
"168",19,2,2,1962,1980,19,"Central African Republic",42
"169",19,2,2,1963,1980,19,"Central African Republic",42
"170",19,2,2,1964,1980,19,"Central African Republic",42
"171",19,2,2,1965,1980,19,"Central African Republic",42
