"","case","cc3","country","year","systemic_crisis","exch_usd","domestic_debt_in_default","sovereign_external_debt_default","gdp_weighted_default","inflation_annual_cpi","independence","currency_crises","inflation_crises","banking_crisis"
"1",1,"DZA","Algeria",1957,0,-0.349331221449044,0,0,0,-0.0308496872001479,0,0,0,"no_crisis"
"2",2,"AGO","Angola",1957,0,-0.386998731258494,0,0,0,-0.0308524874611914,0,0,0,"no_crisis"
"3",10,"CAF","Central African Republic",1957,0,1.49637543974059,0,0,0,-0.0308439074133724,0,0,0,"no_crisis"
"4",15,"CIV","Ivory Coast",1957,0,-0.386998731516847,0,0,0,-0.0308346947918578,0,0,0,"no_crisis"
"5",19,"EGY","Egypt",1957,0,-0.383850951263741,0,0,0,-0.0308491890546805,1,0,0,"no_crisis"
"6",35,"KEN","Kenya",1957,0,-0.322922699684671,0,0,0,-0.0308501044485277,0,0,0,"no_crisis"
"7",38,"MUS","Mauritius",1957,0,-0.34516913651307,0,0,0,-0.0308553679727912,0,0,0,"no_crisis"
"8",40,"MAR","Morocco",1957,0,-0.3548167376211,0,0,0,-0.0308505682927176,1,0,0,"no_crisis"
"9",45,"NGA","Nigeria",1957,0,-0.386998731516847,0,0,0,-0.0308517090575611,0,0,0,"no_crisis"
"10",56,"ZAF","South Africa",1957,0,-0.383798024779007,0,0,0,-0.0308491675970952,1,0,0,"no_crisis"
"11",63,"TUN","Tunisia",1957,0,2.75270799001947,0,0,0,-0.0308458510039982,1,0,0,"no_crisis"
"12",69,"ZMB","Zambia",1957,0,-0.386992344456317,0,0,0,-0.0308492955686193,0,0,0,"no_crisis"
"13",70,"ZWE","Zimbabwe",1957,0,-0.386998731516847,0,0,0,-0.0308496018466924,0,0,0,"no_crisis"
"14",1,"DZA","Algeria",1958,0,-0.342989013871541,0,0,0,-0.0308358479963843,0,0,0,"no_crisis"
"15",2,"AGO","Angola",1958,0,-0.386998731258494,0,0,0,-0.0308510078796119,0,0,0,"no_crisis"
"16",10,"CAF","Central African Republic",1958,0,1.81348559435099,0,0,0,-0.0308351053796304,0,0,0,"no_crisis"
"17",15,"CIV","Ivory Coast",1958,0,-0.386998731516847,0,0,0,-0.0308226909018131,0,0,1,"no_crisis"
"18",19,"EGY","Egypt",1958,0,-0.383850951263741,0,0,0,-0.030855981407271,1,0,0,"no_crisis"
"19",35,"KEN","Kenya",1958,0,-0.322922699684671,0,0,0,-0.0308539975496072,0,0,0,"no_crisis"
"20",38,"MUS","Mauritius",1958,0,-0.344319890697847,0,0,0,-0.030853076213663,0,0,0,"no_crisis"
"21",40,"MAR","Morocco",1958,0,-0.348462868275774,0,0,0,-0.0308475097658771,1,1,0,"no_crisis"
"22",45,"NGA","Nigeria",1958,0,-0.386998731516847,0,0,0,-0.0308590291496151,0,0,0,"no_crisis"
"23",56,"ZAF","South Africa",1958,0,-0.383810583605893,0,0,0,-0.0308493202515406,1,0,0,"no_crisis"
"24",63,"TUN","Tunisia",1958,0,-0.383233774628194,0,1,0.06,-0.0308462770681412,1,2,0,"no_crisis"
"25",69,"ZMB","Zambia",1958,0,-0.386992328309254,0,0,0,-0.0308523185858253,0,0,0,"no_crisis"
"26",70,"ZWE","Zimbabwe",1958,0,-0.386998731516847,0,0,0,-0.0308487122401513,0,0,0,"no_crisis"
"27",1,"DZA","Algeria",1959,0,-0.342962102099642,0,0,0,-0.0308403179251316,0,0,0,"no_crisis"
"28",2,"AGO","Angola",1959,0,-0.386998731257597,0,0,0,-0.0308539975496072,0,1,0,"no_crisis"
"29",10,"CAF","Central African Republic",1959,0,1.81483118204887,0,0,0,-0.0308484130716904,0,1,0,"no_crisis"
"30",15,"CIV","Ivory Coast",1959,0,-0.386998731516847,0,0,0,-0.030844602812006,0,0,0,"no_crisis"
"31",19,"EGY","Egypt",1959,0,-0.383850951263741,0,0,0,-0.0308529696000716,1,0,0,"no_crisis"
"32",35,"KEN","Kenya",1959,0,-0.322922699684671,0,0,0,-0.0308527298110783,0,0,0,"no_crisis"
"33",38,"MUS","Mauritius",1959,0,-0.344281765687657,0,0,0,-0.0308549131850621,0,0,0,"no_crisis"
"34",40,"MAR","Morocco",1959,0,-0.342971072690275,0,0,0,-0.0308572106229919,1,1,0,"no_crisis"
"35",45,"NGA","Nigeria",1959,0,-0.386998731516847,0,0,0,-0.0308470308398397,0,0,0,"no_crisis"
"36",56,"ZAF","South Africa",1959,0,-0.383809238017298,0,0,0,-0.0308528350789998,1,0,0,"no_crisis"
"37",63,"TUN","Tunisia",1959,0,-0.383231083451004,0,0,0,-0.0308662276535073,1,0,0,"no_crisis"
"38",69,"ZMB","Zambia",1959,0,-0.386992322926899,0,0,0,-0.0308509144524247,0,0,0,"no_crisis"
"39",70,"ZWE","Zimbabwe",1959,0,-0.386998731516847,0,0,0,-0.030850072120833,0,0,0,"no_crisis"
"40",1,"DZA","Algeria",1960,0,-0.342710387326481,0,0,0,-0.0308460289291953,0,1,0,"no_crisis"
"41",2,"AGO","Angola",1960,0,-0.386998731258494,0,0,0,-0.0308554627839121,0,0,0,"no_crisis"
"42",10,"CAF","Central African Republic",1960,0,1.81196059484044,0,0,0,-0.0308378533316297,1,0,0,"no_crisis"
"43",15,"CIV","Ivory Coast",1960,0,-0.386998731516847,0,0,0,-0.0308571829811275,1,0,0,"no_crisis"
"44",19,"EGY","Egypt",1960,0,-0.383850951263741,0,0,0,-0.0308529229616984,1,0,0,"no_crisis"
"45",35,"KEN","Kenya",1960,0,-0.322922699684671,0,0,0,-0.0308527454889072,0,0,0,"no_crisis"
"46",38,"MUS","Mauritius",1960,0,-0.34433962599724,0,0,0,-0.0308512310848771,0,0,0,"no_crisis"
"47",40,"MAR","Morocco",1960,0,-0.341603057618749,0,0,0,-0.0308507131669609,1,0,0,"no_crisis"
"48",45,"NGA","Nigeria",1960,0,-0.386998731516847,0,0,0,-0.0308475959626489,1,0,0,"no_crisis"
"49",56,"ZAF","South Africa",1960,0,-0.383807892428703,0,0,0,-0.0308516547969859,1,0,0,"no_crisis"
"50",63,"TUN","Tunisia",1960,0,-0.383231083451004,0,0,0,-0.030851330964851,1,0,0,"no_crisis"
"51",69,"ZMB","Zambia",1960,0,-0.38699233189749,0,0,0,-0.0308488864811218,0,0,0,"no_crisis"
"52",70,"ZWE","Zimbabwe",1960,0,-0.386998731516847,0,0,0,-0.0308503647529261,0,0,0,"no_crisis"
"53",1,"DZA","Algeria",1961,0,-0.342710387326481,0,0,0,-0.0308496767126796,0,0,0,"no_crisis"
"54",2,"AGO","Angola",1961,0,-0.386998731258494,0,0,0,-0.0308510377763116,0,0,0,"no_crisis"
"55",10,"CAF","Central African Republic",1961,0,1.81137750734636,0,0,0,-0.0308442933748677,1,0,0,"no_crisis"
"56",15,"CIV","Ivory Coast",1961,0,-0.386998731516847,0,0,0,-0.0308326422962359,1,0,0,"no_crisis"
"57",19,"EGY","Egypt",1961,0,-0.383850951263741,0,0,0,-0.0308522550422009,1,0,0,"no_crisis"
